Functional Type,Crop,Crop_Class,Crop_Utilization,Crop_Production
Nut & Seed,ALMONDS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Nut & Seed,ALMONDS,ALL CLASSES,"UTILIZED, SHELLED",ALL PRODUCTION PRACTICES
Fruits,APPLES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,APRICOTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,ARTICHOKES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,ASPARAGUS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,AVOCADOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Cereal Grains,BARLEY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Legumes,BEANS,SNAP,FRESH MARKET,ALL PRODUCTION PRACTICES
Legumes,BEANS,SNAP,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Legumes,BEANS,SNAP,PROCESSING,ALL PRODUCTION PRACTICES
Legumes,BEANS,"GREEN, LIMA",ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Legumes,BEANS,"DRY EDIBLE, INCL CHICKPEAS",ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,BEETS,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES
Fruits,BLACKBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,BLUEBERRIES,TAME,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,BOYSENBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,BROCCOLI,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,BRUSSELS SPROUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,CABBAGE,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES
Vegetables,CABBAGE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,CABBAGE,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES
Fats & Oils,CANOLA,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,CARROTS,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES
Vegetables,CARROTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,CARROTS,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES
Vegetables,CAULIFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,CELERY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,CHERRIES,SWEET,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Cereal Grains,CORN,ALL CLASSES,GRAIN,ALL PRODUCTION PRACTICES
Cereal Grains,CORN,ALL CLASSES,SILAGE,ALL PRODUCTION PRACTICES
Industrial Crop,COTTON,PIMA,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Industrial Crop,COTTON,UPLAND,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,CRANBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,CUCUMBERS,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES
Vegetables,CUCUMBERS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,CUCUMBERS,ALL CLASSES,"PROCESSING, PICKLES",ALL PRODUCTION PRACTICES
Fruits,DATES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,EGGPLANT,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES
Vegetables,ESCAROLE & ENDIVE,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES
Fruits,FIGS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fats & Oils,FLAXSEED,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,GARLIC,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,GRAPEFRUIT,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES
Fruits,GRAPES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Industrial Crop,HAY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Nut & Seed,HAZELNUTS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES
Industrial Crop,HOPS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,KIWIFRUIT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,LEMONS,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES
Legumes,LENTILS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,LETTUCE,HEAD,FRESH MARKET,ALL PRODUCTION PRACTICES
Vegetables,LETTUCE,HEAD,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,LETTUCE,LEAF,FRESH MARKET,ALL PRODUCTION PRACTICES
Vegetables,LETTUCE,LEAF,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,LETTUCE,ROMAINE,FRESH MARKET,ALL PRODUCTION PRACTICES
Vegetables,LETTUCE,ROMAINE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,LOGANBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,MELONS,WATERMELON,FRESH MARKET,ALL PRODUCTION PRACTICES
Fruits,MELONS,WATERMELON,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,MELONS,HONEYDEW,FRESH MARKET,ALL PRODUCTION PRACTICES
Fruits,MELONS,HONEYDEW,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,MELONS,CANTALOUP,FRESH MARKET,ALL PRODUCTION PRACTICES
Fruits,MELONS,CANTALOUP,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Cereal Grains,MILLET,PROSO,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fats & Oils,MUSTARD,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,NECTARINES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Cereal Grains,OATS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,OKRA,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,OLIVES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,ONIONS,DRY,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,ORANGES,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES
Fruits,PEACHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,PEACHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Legumes,PEANUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,PEARS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Legumes,PEAS,GREEN,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Legumes,PEAS,GREEN,PROCESSING,ALL PRODUCTION PRACTICES
Legumes,PEAS,AUSTRIAN WINTER,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Legumes,PEAS,DRY EDIBLE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Nut & Seed,PECANS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES
Vegetables,PEPPERS,BELL,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,PEPPERS,CHILE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Nut & Seed,PISTACHIOS,ALL CLASSES,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES
Fruits,PLUMS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,POTATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,PRUNES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,PUMPKINS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,RADISHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,RASPBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Cereal Grains,RICE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Cereal Grains,RYE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Nut & Seed,SAFFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Cereal Grains,SORGHUM,ALL CLASSES,GRAIN,ALL PRODUCTION PRACTICES
Cereal Grains,SORGHUM,ALL CLASSES,SILAGE,ALL PRODUCTION PRACTICES
Legumes,SOYBEANS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,SPINACH,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,SQUASH,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,STRAWBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,SUGARBEETS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Nut & Seed,SUNFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,SWEET CORN,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES
Vegetables,SWEET CORN,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,SWEET CORN,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES
Vegetables,SWEET POTATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Fruits,TANGELOS,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES
Fruits,TANGERINES,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES
Industrial Crop,TOBACCO,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
Vegetables,TOMATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,IN THE OPEN
Vegetables,TOMATOES,ALL CLASSES,FRESH MARKET,IN THE OPEN
Vegetables,TOMATOES,ALL CLASSES,PROCESSING,IN THE OPEN
Nut & Seed,WALNUTS,ENGLISH,UTILIZED,ALL PRODUCTION PRACTICES
Nut & Seed,WALNUTS,ENGLISH,"UTILIZED, IN SHELL",ALL PRODUCTION PRACTICES
Cereal Grains,WHEAT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES
