"","year","state_abb","m_prism_ppt","m_prism_tavg","decade","fips"
"1","1981","AL",101.835159465587,17.5701764519075,"1980_1989","01"
"2","1982","AL",120.886889050656,18.2391348061039,"1980_1989","01"
"3","1983","AL",136.857495375192,18.2313197087382,"1980_1989","01"
"4","1984","AL",104.425772515578,18.0573245969614,"1980_1989","01"
"5","1985","AL",109.268379917081,19.5493836105238,"1980_1989","01"
"6","1986","AL",103.166909807276,18.6841024244799,"1980_1989","01"
"7","1987","AL",95.4909875041266,18.0362645787721,"1980_1989","01"
"8","1988","AL",101.683769596426,18.6826639823547,"1980_1989","01"
"9","1989","AL",139.958394510781,17.7284696820393,"1980_1989","01"
"10","1990","AL",121.10714830719,17.9951132254894,"1990_1999","01"
"11","1991","AL",134.738864587001,17.4708096765773,"1990_1999","01"
"12","1992","AL",123.907202726452,16.427436182736,"1990_1999","01"
"13","1993","AL",104.159935041917,16.5097545584641,"1990_1999","01"
"14","1994","AL",132.710907995602,17.9999512853559,"1990_1999","01"
"15","1995","AL",122.759976724563,16.8302582413415,"1990_1999","01"
"16","1996","AL",117.781054878775,17.2365564251041,"1990_1999","01"
"17","1997","AL",132.894387371763,16.5427633500271,"1990_1999","01"
"18","1998","AL",127.218075133617,18.1267222342915,"1990_1999","01"
"19","1999","AL",102.8474624017,17.6253093812941,"1990_1999","01"
"20","2000","AL",88.7900539814418,18.4842507511418,"2000_2009","01"
"21","2001","AL",124.625667725341,18.1050685851877,"2000_2009","01"
"22","2002","AL",132.477930938982,17.1955891295582,"2000_2009","01"
"23","2003","AL",147.380823311014,19.06679213548,"2000_2009","01"
"24","2004","AL",130.999775937087,18.0531636111648,"2000_2009","01"
"25","2005","AL",117.290790028724,18.1558243782517,"2000_2009","01"
"26","2006","AL",96.8901893409826,17.5422652537527,"2000_2009","01"
"27","2007","AL",84.2009677526892,18.7830973289014,"2000_2009","01"
"28","2008","AL",117.601788480834,17.8573005229584,"2000_2009","01"
"29","2009","AL",156.239910222567,16.8652392634636,"2000_2009","01"
"30","2010","AL",100.019743989298,20.9129891424629,"2010_2019","01"
"31","2011","AL",114.300334563618,18.4721805159498,"2010_2019","01"
"32","2012","AL",114.612298056308,17.9532180859125,"2010_2019","01"
"33","2013","AL",143.840376303127,16.5807829395395,"2010_2019","01"
"34","2014","AL",128.762973506226,17.5652227231679,"2010_2019","01"
"35","2015","AL",141.811280368753,20.3103783698803,"2010_2019","01"
"36","2016","AL",103.462182908361,19.3718793337031,"2010_2019","01"
"37","2017","AL",139.844641418764,18.0873882499584,"2010_2019","01"
"38","2018","AL",153.615135048795,18.9178660431647,"2010_2019","01"
"39","2019","AL",129.262286987254,18.2124598041637,"2010_2019","01"
"40","2020","AL",150.555480395046,17.8611312385102,"2010_2019","01"
"41","1981","AR",97.3688110315533,18.3483211536067,"1980_1989","05"
"42","1982","AR",120.754914455271,18.400857639059,"1980_1989","05"
"43","1983","AR",96.1603052680989,18.0604922137668,"1980_1989","05"
"44","1984","AR",129.722332808416,17.2444477715684,"1980_1989","05"
"45","1985","AR",98.9857736092153,20.452830323618,"1980_1989","05"
"46","1986","AR",95.3247824386376,17.8286404561048,"1980_1989","05"
"47","1987","AR",114.64245908552,17.7093957668626,"1980_1989","05"
"48","1988","AR",98.4754613456338,19.5879944893649,"1980_1989","05"
"49","1989","AR",105.092919214413,17.9096565665334,"1980_1989","05"
"50","1990","AR",135.34492764269,16.8492265712279,"1990_1999","05"
"51","1991","AR",129.106517602972,17.8057532061076,"1990_1999","05"
"52","1992","AR",96.8354529749388,16.7574464646957,"1990_1999","05"
"53","1993","AR",103.807665260719,17.6320558280222,"1990_1999","05"
"54","1994","AR",104.400180320791,17.2786882404593,"1990_1999","05"
"55","1995","AR",84.5217630161897,17.0649147844267,"1990_1999","05"
"56","1996","AR",108.766802126497,17.6595226125423,"1990_1999","05"
"57","1997","AR",110.042244174993,16.7024818440962,"1990_1999","05"
"58","1998","AR",93.1707439926409,17.481305434465,"1990_1999","05"
"59","1999","AR",88.2929272004057,16.9078477051946,"1990_1999","05"
"60","2000","AR",91.2335381926562,18.9607213204061,"2000_2009","05"
"61","2001","AR",116.789004572547,17.6866026975519,"2000_2009","05"
"62","2002","AR",122.693600222416,17.0004000957647,"2000_2009","05"
"63","2003","AR",101.447770842024,18.2632674508179,"2000_2009","05"
"64","2004","AR",122.516015058095,20.0826907977177,"2000_2009","05"
"65","2005","AR",82.2143150733201,17.8477775185962,"2000_2009","05"
"66","2006","AR",105.94459149054,17.8450926513712,"2000_2009","05"
"67","2007","AR",99.3483969713326,17.9481246701399,"2000_2009","05"
"68","2008","AR",117.67331912678,17.8574905430294,"2000_2009","05"
"69","2009","AR",155.15491763161,18.141674102751,"2000_2009","05"
"70","2010","AR",84.9419929004094,21.07289192607,"2010_2019","05"
"71","2011","AR",131.351377554841,17.8757985146006,"2010_2019","05"
"72","2012","AR",83.2901708676257,17.6197835113152,"2010_2019","05"
"73","2013","AR",116.425112422589,16.4848770100214,"2010_2019","05"
"74","2014","AR",111.919780013169,17.5418852721987,"2010_2019","05"
"75","2015","AR",145.06794557936,19.2969080142142,"2010_2019","05"
"76","2016","AR",118.875294701321,18.552385676303,"2010_2019","05"
"77","2017","AR",113.24650559563,17.1464909404023,"2010_2019","05"
"78","2018","AR",148.458247820084,17.7063103784687,"2010_2019","05"
"79","2019","AR",146.784445199993,16.498747969558,"2010_2019","05"
"80","2020","AR",133.620121627666,16.4690601551394,"2010_2019","05"
"81","1981","AZ",12.9031913074946,21.9092906172624,"1980_1989","04"
"82","1982","AZ",21.8281815512603,20.3845717952021,"1980_1989","04"
"83","1983","AZ",27.6219781202626,20.6149181680266,"1980_1989","04"
"84","1984","AZ",26.1051802508255,20.6966212939608,"1980_1989","04"
"85","1985","AZ",17.4470923343791,20.5672504638851,"1980_1989","04"
"86","1986","AZ",16.6043657570726,21.2568535068906,"1980_1989","04"
"87","1987","AZ",14.9984938469574,20.9500203349074,"1980_1989","04"
"88","1988","AZ",15.6358248683539,21.3433245803376,"1980_1989","04"
"89","1989","AZ",9.15486798246229,21.8546988781687,"1980_1989","04"
"90","1990","AZ",18.2435208279156,21.0468295771367,"1990_1999","04"
