Crop,Crop_Class,Crop_Utilization,Crop_Production,Price_Received_Units,Conversion_usd_per_kg
CRANBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BARREL,0.022046244
TANGELOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BOX,
GRAPEFRUIT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,"$ / BOX, PHD EQUIV",
ORANGES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,"$ / BOX, PHD EQUIV",
TANGELOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,"$ / BOX, PHD EQUIV",
TANGERINES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,"$ / BOX, PHD EQUIV",
BARLEY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BU,0.045929709
CORN,ALL CLASSES,GRAIN,ALL PRODUCTION PRACTICES,$ / BU,0.039368219
FLAXSEED,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BU,0.039368219
MILLET,PROSO,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BU,0.044992351
OATS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BU,0.068894247
RYE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BU,0.039368219
SOYBEANS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BU,0.036743767
WHEAT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / BU,0.036743767
ARTICHOKES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
BEANS,"DRY EDIBLE, INCL CHICKPEAS",ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
BEANS,"GREEN, LIMA",ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
BEANS,SNAP,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
BEANS,SNAP,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
BRUSSELS SPROUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
CABBAGE,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
CABBAGE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
CANOLA,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
CARROTS,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
CARROTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
CAULIFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
CUCUMBERS,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
CUCUMBERS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
EGGPLANT,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
ESCAROLE & ENDIVE,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
LENTILS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
LETTUCE,HEAD,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
LETTUCE,HEAD,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
LETTUCE,LEAF,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
LETTUCE,LEAF,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
LETTUCE,ROMAINE,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
LETTUCE,ROMAINE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
MELONS,CANTALOUP,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
MELONS,CANTALOUP,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
MELONS,HONEYDEW,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
MELONS,HONEYDEW,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
MELONS,WATERMELON,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
MELONS,WATERMELON,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
OKRA,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
ONIONS,DRY,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
PEAS,DRY EDIBLE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
PEAS,GREEN,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
PEAS,AUSTRIAN WINTER,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
PEPPERS,BELL,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
PEPPERS,CHILE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
POTATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
PUMPKINS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
RADISHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
RICE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
SAFFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
SORGHUM,ALL CLASSES,GRAIN,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
SPINACH,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
SQUASH,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
SUNFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
SWEET CORN,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
SWEET CORN,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
SWEET POTATOES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / CWT,0.022046244
ALMONDS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
APPLES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
BLACKBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
BLUEBERRIES,TAME,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
BOYSENBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
COTTON,PIMA,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
COTTON,UPLAND,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
COTTON,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
HOPS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
LOGANBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
PEANUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
PECANS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
PISTACHIOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
RASPBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
TOBACCO,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / LB,2.205023042
APRICOTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
AVOCADOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
BEANS,SNAP,PROCESSING,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
BEETS,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
CABBAGE,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
CARROTS,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
CHERRIES,SWEET,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
CUCUMBERS,ALL CLASSES,"PROCESSING, PICKLES",ALL PRODUCTION PRACTICES,$ / TON,0.001102311
DATES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
FIGS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
GRAPES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
HAY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
HAZELNUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
KIWIFRUIT,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
NECTARINES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
OLIVES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
PEACHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
PEARS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
PEAS,GREEN,PROCESSING,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
PLUMS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
SUGARBEETS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
SWEET CORN,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,$ / TON,0.001102311
