"","fips","Value"
"1","01001",25954
"2","01003",87480.8
"3","01005",27277.8
"4","01007",6711
"5","01009",28840.8
"6","01011",11608
"7","01013",14536.4
"8","01015",19362.2
"9","01017",8841.8
"10","01019",46320.4
"11","01021",16815.6
"12","01023",5410.8
"13","01025",6855.2
"14","01027",8590.4
"15","01029",6163.8
"16","01031",54593.6
"17","01033",54345.4
"18","01035",15222.8
"19","01037",3905.2
"20","01039",44407
"21","01041",17270.2
"22","01043",51623.8
"23","01045",36529.4
"24","01047",45051
"25","01049",66455.2
"26","01051",29018.8
"27","01053",40189.8
"28","01055",19541.6
"29","01057",16657.2
"30","01059",22407.4
"31","01061",66100.2
"32","01063",11540
"33","01065",19092.6
"34","01067",60582.6
"35","01069",87238.8
"36","01071",79798.2
"37","01073",6880
"38","01075",10472.2
"39","01077",80585.8
"40","01079",89203.8
"41","01081",7611.2
"42","01083",119495.4
"43","01085",28541
"44","01087",17632.6
"45","01089",108301
"46","01091",21957.8
"47","01093",16795.8
"48","01095",37850.8
"49","01097",30924.2
"50","01099",36827.2
"51","01101",31846.8
"52","01103",44144.8
"53","01105",23309.2
"54","01107",19311
"55","01109",30802.2
"56","01111",10079
"57","01113",17160.8
"58","01115",12733.4
"59","01117",17072.8
"60","01119",15732.8
"61","01121",30716
"62","01123",6384.4
"63","01125",21351
"64","01127",13202.2
"65","01129",12171.2
"66","01131",14495.8
"67","01133",10730
"68","02",11185.5384615385
"69","04001",6497.75
"70","04003",66006
"71","04005",1252.8
"72","04007",740.75
"73","04009",36130.8
"74","04011",3241.5
"75","04012",101750.6
"76","04013",222948.6
"77","04015",17684.3333333333
"78","04017",5931
"79","04019",30037.6
"80","04021",222878.6
"81","04023",728.2
"82","04025",4513.6
"83","04027",190943
"84","05001",339893.4
"85","05003",110535
"86","05005",10723
"87","05007",74229.8
"88","05009",31737.6
"89","05011",5917
"90","05013",3082.8
"91","05015",40984.4
"92","05017",231602.2
"93","05019",21320
"94","05021",275283.2
"95","05023",25773
"96","05025",6538.8
"97","05027",10301.8
"98","05029",66142.8
"99","05031",303642.2
"100","05033",43177
"101","05035",288992
"102","05037",261358.4
"103","05039",3550.4
"104","05041",251969.4
"105","05043",74374.8
"106","05045",52509
"107","05047",42674.2
"108","05049",19822.2
"109","05051",6565.4
"110","05053",8621.4
"111","05055",205627.4
"112","05057",40041.2
"113","05059",15086.8
"114","05061",23863.8
"115","05063",80360
"116","05065",19366
"117","05067",254496.6
"118","05069",241670.8
"119","05071",32548.2
"120","05073",45280.8
"121","05075",188081
"122","05077",254289.4
"123","05079",142067.2
"124","05081",49645.6
"125","05083",54444.8
"126","05085",263608.6
"127","05087",46261.4
"128","05089",14013
"129","05091",60409
"130","05093",452427.2
"131","05095",205150.8
"132","05097",16984
"133","05099",15701.4
"134","05101",11930
"135","05103",5562.8
"136","05105",23327.2
"137","05107",348855.2
"138","05109",15028.6
"139","05111",336632
"140","05113",25855.6
"141","05115",46372.8
"142","05117",214668.4
"143","05119",51488.8
"144","05121",99934.4
"145","05123",231773.4
