year,crop_area,state_name,irr_area,prop_irr
2017,2205766,ALABAMA,133335,0.060448388
2017,915647,ARIZONA,876272,0.95699762
2017,7098672,ARKANSAS,4843849,0.682359884
2017,7857512,CALIFORNIA,7348690,0.935243879
2017,5916737,COLORADO,2334912,0.394628323
2017,122074,CONNECTICUT,7065,0.057874732
2017,435085,DELAWARE,163011,0.374664721
2017,2093330,FLORIDA,1363029,0.65112954
2017,3628707,GEORGIA,1263575,0.348216321
2017,4576077,IDAHO,3079173,0.672884875
2017,22701382,ILLINOIS,608640,0.026810703
2017,12345774,INDIANA,553193,0.044808288
2017,24347862,IOWA,218364,0.008968508
2017,21837465,KANSAS,2464656,0.11286365
2017,5474346,KENTUCKY,83247,0.015206748
2017,3314955,LOUISIANA,1209249,0.364785947
2017,360295,MAINE,31810,0.088288763
2017,1290212,MARYLAND,123578,0.095781158
2017,140922,MASSACHUSETTS,23561,0.16719178
2017,7214667,MICHIGAN,666976,0.092447233
2017,20054132,MINNESOTA,609225,0.030379026
2017,4174210,MISSISSIPPI,1807551,0.433028286
2017,13486275,MISSOURI,1515708,0.112388929
2017,9901226,MONTANA,1556834,0.157236488
2017,19460222,NEBRASKA,8476104,0.435560499
2017,573785,NEVADA,567978,0.989879484
2017,85793,NEW HAMPSHIRE,1935,0.022554288
2017,411785,NEW JERSEY,85783,0.208319876
2017,806138,NEW MEXICO,527592,0.65446859
2017,3581095,NEW YORK,51511,0.014384148
2017,4407160,NORTH CAROLINA,133811,0.030362183
2017,23976011,NORTH DAKOTA,262875,0.010964084
2017,10190952,OHIO,48555,0.004764521
2017,7812594,OKLAHOMA,513851,0.065772137
2017,2965392,OREGON,1326112,0.447196189
2017,3931996,PENNSYLVANIA,30993,0.007882256
2017,14302,RHODE ISLAND,2899,0.202698923
2017,1599887,SOUTH CAROLINA,205100,0.128196554
2017,16371543,SOUTH DAKOTA,482823,0.0294916
2017,4566352,TENNESSEE,184112,0.040319275
2017,17595330,TEXAS,4054569,0.230434382
2017,1062894,UTAH,856972,0.806262901
2017,417925,VERMONT,2680,0.006412634
2017,2613010,VIRGINIA,61532,0.023548322
2017,4472130,WASHINGTON,1601268,0.358054887
2017,736151,WEST VIRGINIA,1660,0.002254972
2017,9234611,WISCONSIN,450771,0.048813209
2017,1544826,WYOMING,1114338,0.721335607
2012,2158026,ALABAMA,109717,0.050841371
2012,890130,ARIZONA,854515,0.95998899
2012,7316469,ARKANSAS,4795969,0.655503222
2012,8007461,CALIFORNIA,7371411,0.92056783
2012,5182628,COLORADO,2110131,0.407154633
2012,126835,CONNECTICUT,9149,0.072133086
2012,421321,DELAWARE,127007,0.301449489
2012,2184485,FLORIDA,1333840,0.610597006
2012,3609788,GEORGIA,1112359,0.308150783
2012,4504676,IDAHO,3044510,0.675855489
2012,22373010,ILLINOIS,521459,0.023307503
2012,12146538,INDIANA,436004,0.035895331
2012,24507219,IOWA,170542,0.006958848
2012,21043596,KANSAS,2858575,0.135840614
2012,5349545,KENTUCKY,71168,0.013303561
2012,3447617,LOUISIANA,1078596,0.312852617
2012,400960,MAINE,30811,0.076843077
2012,1280965,MARYLAND,104451,0.08154087
2012,137039,MASSACHUSETTS,23119,0.1687038
2012,7057978,MICHIGAN,589020,0.083454496
2012,19807839,MINNESOTA,519952,0.026249809
2012,4292113,MISSISSIPPI,1648601,0.384100092
2012,12917688,MISSOURI,1174543,0.090925172
2012,9533929,MONTANA,1482359,0.155482488
2012,18812755,NEBRASKA,8225973,0.437255096
2012,582494,NEVADA,561201,0.963445117
2012,87382,NEW HAMPSHIRE,2606,0.029823076
2012,408993,NEW JERSEY,87770,0.21460025
2012,690858,NEW MEXICO,590104,0.854161058
2012,3783661,NEW YORK,58463,0.015451437
2012,4378097,NORTH CAROLINA,164414,0.037553759
2012,23469816,NORTH DAKOTA,217057,0.009248347
2012,10122245,OHIO,45826,0.004527257
2012,8074733,OKLAHOMA,450703,0.055816459
2012,2966351,OREGON,1266256,0.426873286
2012,3957000,PENNSYLVANIA,38224,0.009659843
2012,18933,RHODE ISLAND,3778,0.199545767
2012,1634706,SOUTH CAROLINA,154682,0.094623743
2012,16392000,SOUTH DAKOTA,370081,0.022576928
2012,4546788,TENNESSEE,145995,0.03210948
2012,16458332,TEXAS,4174843,0.253661367
2012,1054369,UTAH,853875,0.809844561
2012,446020,VERMONT,3333,0.007472759
2012,2618291,VIRGINIA,66710,0.025478451
2012,4342904,WASHINGTON,1550138,0.35693582
2012,699793,WEST VIRGINIA,2008,0.00286942
2012,9149273,WISCONSIN,419439,0.04584397
2012,1440605,WYOMING,1016745,0.705776393
2007,1994743,ALABAMA,106925,0.053603397
2007,832406,ARIZONA,823468,0.989262451
2007,7367068,ARKANSAS,4455478,0.60478307
2007,7633173,CALIFORNIA,7274248,0.95297827
2007,5888926,COLORADO,2296765,0.39001424
2007,136833,CONNECTICUT,9738,0.071167043
2007,409468,DELAWARE,104063,0.25414196
2007,2112129,FLORIDA,1424396,0.674388733
2007,3390437,GEORGIA,987160,0.291160107
2007,4225786,IDAHO,2867218,0.678505253
2007,22611443,ILLINOIS,473081,0.020922194
2007,12108940,INDIANA,395708,0.032678996
2007,23799380,IOWA,188765,0.007931509
2007,19886655,KANSAS,2728874,0.137221368
2007,5057883,KENTUCKY,58221,0.011510942
2007,3342048,LOUISIANA,910458,0.272425172
2007,393738,MAINE,20799,0.052824467
2007,1246603,MARYLAND,91926,0.073741199
2007,153993,MASSACHUSETTS,22662,0.147162533
2007,6859081,MICHIGAN,496295,0.072355903
2007,19267018,MINNESOTA,499583,0.025929441
2007,4223708,MISSISSIPPI,1364157,0.322976162
2007,12980113,MISSOURI,1190101,0.09168649
2007,9163867,MONTANA,1558122,0.170028875
2007,18169876,NEBRASKA,8448373,0.464965914
2007,504311,NEVADA,502978,0.99735679
2007,99520,NEW HAMPSHIRE,2417,0.024286576
2007,415542,NEW JERSEY,94121,0.226501774
2007,1009683,NEW MEXICO,648272,0.642054982
2007,3651278,NEW YORK,65891,0.01804601
2007,4188658,NORTH CAROLINA,208213,0.049708761
2007,22035717,NORTH DAKOTA,233171,0.010581503
2007,9991007,OHIO,37050,0.003708335
2007,7650080,OKLAHOMA,481169,0.062897251
2007,3037261,OREGON,1333741,0.439126239
2007,3942079,PENNSYLVANIA,36759,0.009324775
2007,19325,RHODE ISLAND,4266,0.220750323
2007,1551670,SOUTH CAROLINA,123413,0.079535597
2007,15278709,SOUTH DAKOTA,358807,0.023484118
2007,4226440,TENNESSEE,79150,0.018727345
2007,19174301,TEXAS,4621445,0.241022867
2007,964702,UTAH,787205,0.816008467
2007,433074,VERMONT,2203,0.00508689
2007,2544997,VIRGINIA,78675,0.030913592
2007,4387169,WASHINGTON,1589538,0.362315197
2007,692003,WEST VIRGINIA,0,0
2007,8884628,WISCONSIN,373680,0.042059161
2007,1536240,WYOMING,1025182,0.667331927
2002,1995139,ALABAMA,101965,0.051106715
2002,887966,ARIZONA,887966,1
2002,7457599,ARKANSAS,4144606,0.555756082
2002,8466321,CALIFORNIA,7949051,0.938902624
2002,4346955,COLORADO,2178748,0.501212458
2002,131248,CONNECTICUT,10010,0.076267829
2002,433105,DELAWARE,97024,0.22401958
2002,2313537,FLORIDA,1696259,0.73318862
2002,3245784,GEORGIA,848024,0.261269388
2002,4313288,IDAHO,2829982,0.656107823
2002,22562904,ILLINOIS,390480,0.017306283
2002,11937370,INDIANA,311963,0.026133311
2002,23994343,IOWA,141438,0.005894639
2002,18976719,KANSAS,2665750,0.140474758
2002,4978994,KENTUCKY,36718,0.007374582
2002,3332146,LOUISIANA,928050,0.278514207
2002,394121,MAINE,19592,0.049710622
2002,1282004,MARYLAND,79858,0.062291537
2002,159253,MASSACHUSETTS,23509,0.147620453
2002,6827903,MICHIGAN,453968,0.066487178
2002,19398309,MINNESOTA,449734,0.023184186
2002,4139341,MISSISSIPPI,1174964,0.283852913
2002,13137184,MISSOURI,1027214,0.078191338
2002,8742111,MONTANA,1556656,0.178064085
2002,17336624,NEBRASKA,7506900,0.43300818
2002,549076,NEVADA,534652,0.973730413
2002,95983,NEW HAMPSHIRE,2256,0.023504162
2002,444670,NEW JERSEY,95793,0.215424922
2002,856166,NEW MEXICO,654172,0.764071453
2002,3846368,NEW YORK,68914,0.017916642
2002,4308209,NORTH CAROLINA,238345,0.055323453
2002,19908697,NORTH DAKOTA,201019,0.010097045
2002,10041416,OHIO,39881,0.003971651
2002,7705860,OKLAHOMA,470943,0.061114918
2002,3119384,OREGON,1415826,0.453879997
2002,4079276,PENNSYLVANIA,40880,0.010021386
2002,17820,RHODE ISLAND,3948,0.221548822
2002,1374617,SOUTH CAROLINA,91795,0.066778601
2002,13492286,SOUTH DAKOTA,384170,0.028473307
2002,4365360,TENNESSEE,58356,0.01336797
2002,17750938,TEXAS,4571339,0.257526616
2002,961037,UTAH,780235,0.811867805
2002,454699,VERMONT,2165,0.004761392
2002,2623776,VIRGINIA,95293,0.03631903
2002,4894634,WASHINGTON,1669928,0.341175254
2002,648635,WEST VIRGINIA,0,0
2002,8928083,WISCONSIN,380385,0.042605451
2002,1298709,WYOMING,960430,0.739526715
1997,2179636,ALABAMA,73490,0.033716639
1997,1026359,ARIZONA,1020622,0.994410338
1997,7814711,ARKANSAS,3772697,0.482768589
1997,8676242,CALIFORNIA,8101078,0.933708165
1997,6099357,COLORADO,2728402,0.447326169
1997,153446,CONNECTICUT,7564,0.049294214
1997,469920,DELAWARE,74733,0.159033453
1997,2434379,FLORIDA,1739729,0.71465002
1997,3894737,GEORGIA,760601,0.195289438
