Crop,Crop_Class,Crop_Utilization,Crop_Production,Price_Data,Area_Data
ALMONDS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
ALMONDS,ALL CLASSES,"UTILIZED, SHELLED",ALL PRODUCTION PRACTICES,Price,Survey
APPLES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
APRICOTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
ARTICHOKES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
ASPARAGUS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Production,Survey
AVOCADOS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
BARLEY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
BEANS,"DRY EDIBLE, INCL CHICKPEAS",ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
BEANS,"GREEN, LIMA",ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
BEANS,SNAP,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
BEANS,SNAP,PROCESSING,ALL PRODUCTION PRACTICES,Price,Survey
BEANS,SNAP,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
BEETS,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,Price,Survey
BLACKBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
BLUEBERRIES,TAME,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
BOYSENBERRIES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
BROCCOLI,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Production,Survey
BRUSSELS SPROUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
CABBAGE,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,Price,Survey
CABBAGE,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
CABBAGE,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
CANOLA,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
CARROTS,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,Price,Survey
CARROTS,ALL CLASSES,PROCESSING,ALL PRODUCTION PRACTICES,Price,Survey
CARROTS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
CAULIFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Survey
CELERY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Production,Survey
CHERRIES,SWEET,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,Price,Census
CORN,ALL CLASSES,GRAIN,ALL PRODUCTION PRACTICES,Price,Survey
CORN,ALL CLASSES,SILAGE,ALL PRODUCTION PRACTICES,Price,Survey
