"","year","crop_area","state_name","irr_area","prop_irr","fips","decade"
"1",2017,2205766,"ALABAMA",133335,0.0604483884509962,"01","2010_2019"
"2",2017,915647,"ARIZONA",876272,0.956997620261957,"04","2010_2019"
"3",2017,7098672,"ARKANSAS",4843849,0.682359883651477,"05","2010_2019"
"4",2017,7857512,"CALIFORNIA",7348690,0.935243878723952,"06","2010_2019"
"5",2017,5916737,"COLORADO",2334912,0.394628323009794,"08","2010_2019"
"6",2017,122074,"CONNECTICUT",7065,0.0578747317201042,"09","2010_2019"
"7",2017,435085,"DELAWARE",163011,0.374664720686762,"10","2010_2019"
"8",2017,2093330,"FLORIDA",1363029,0.651129540015191,"12","2010_2019"
"9",2017,3628707,"GEORGIA",1263575,0.348216320579204,"13","2010_2019"
"10",2017,4576077,"IDAHO",3079173,0.672884874970417,"16","2010_2019"
"11",2017,22701382,"ILLINOIS",608640,0.0268107025378455,"17","2010_2019"
"12",2017,12345774,"INDIANA",553193,0.0448082882450302,"18","2010_2019"
"13",2017,24347862,"IOWA",218364,0.00896850820002183,"19","2010_2019"
"14",2017,21837465,"KANSAS",2464656,0.112863649695603,"20","2010_2019"
"15",2017,5474346,"KENTUCKY",83247,0.0152067479841428,"21","2010_2019"
"16",2017,3314955,"LOUISIANA",1209249,0.364785947320552,"22","2010_2019"
"17",2017,360295,"MAINE",31810,0.088288763374457,"23","2010_2019"
"18",2017,1290212,"MARYLAND",123578,0.0957811584452788,"24","2010_2019"
"19",2017,140922,"MASSACHUSETTS",23561,0.167191779849846,"25","2010_2019"
"20",2017,7214667,"MICHIGAN",666976,0.0924472328383278,"26","2010_2019"
"21",2017,20054132,"MINNESOTA",609225,0.0303790261278823,"27","2010_2019"
"22",2017,4174210,"MISSISSIPPI",1807551,0.433028285591765,"28","2010_2019"
"23",2017,13486275,"MISSOURI",1515708,0.112388928744223,"29","2010_2019"
"24",2017,9901226,"MONTANA",1556834,0.157236487683444,"30","2010_2019"
"25",2017,19460222,"NEBRASKA",8476104,0.435560498744567,"31","2010_2019"
"26",2017,573785,"NEVADA",567978,0.989879484475893,"32","2010_2019"
"27",2017,85793,"NEW HAMPSHIRE",1935,0.0225542876458452,"33","2010_2019"
"28",2017,411785,"NEW JERSEY",85783,0.208319875663271,"34","2010_2019"
"29",2017,806138,"NEW MEXICO",527592,0.65446858974518,"35","2010_2019"
"30",2017,3581095,"NEW YORK",51511,0.0143841478653875,"36","2010_2019"
"31",2017,4407160,"NORTH CAROLINA",133811,0.030362183356175,"37","2010_2019"
"32",2017,23976011,"NORTH DAKOTA",262875,0.0109640840588537,"38","2010_2019"
"33",2017,10190952,"OHIO",48555,0.00476452052762097,"39","2010_2019"
"34",2017,7812594,"OKLAHOMA",513851,0.0657721366296521,"40","2010_2019"
"35",2017,2965392,"OREGON",1326112,0.447196188564615,"41","2010_2019"
"36",2017,3931996,"PENNSYLVANIA",30993,0.00788225623830746,"42","2010_2019"
"37",2017,14302,"RHODE ISLAND",2899,0.202698923227521,"44","2010_2019"
"38",2017,1599887,"SOUTH CAROLINA",205100,0.128196553881618,"45","2010_2019"
"39",2017,16371543,"SOUTH DAKOTA",482823,0.029491600150334,"46","2010_2019"
"40",2017,4566352,"TENNESSEE",184112,0.0403192745543927,"47","2010_2019"
"41",2017,17595330,"TEXAS",4054569,0.23043438230485,"48","2010_2019"
"42",2017,1062894,"UTAH",856972,0.806262901098322,"49","2010_2019"
"43",2017,417925,"VERMONT",2680,0.00641263384578573,"50","2010_2019"
"44",2017,2613010,"VIRGINIA",61532,0.0235483216673491,"51","2010_2019"
"45",2017,4472130,"WASHINGTON",1601268,0.358054886597661,"53","2010_2019"
"46",2017,736151,"WEST VIRGINIA",1660,0.00225497214566033,"54","2010_2019"
"47",2017,9234611,"WISCONSIN",450771,0.0488132093490457,"55","2010_2019"
"48",2017,1544826,"WYOMING",1114338,0.721335606728525,"56","2010_2019"
"49",2012,2158026,"ALABAMA",109717,0.0508413707712511,"01","2010_2019"
"50",2012,890130,"ARIZONA",854515,0.959988990372193,"04","2010_2019"
"51",2012,7316469,"ARKANSAS",4795969,0.655503221567671,"05","2010_2019"
"52",2012,8007461,"CALIFORNIA",7371411,0.920567830427148,"06","2010_2019"
"53",2012,5182628,"COLORADO",2110131,0.407154632746167,"08","2010_2019"
"54",2012,126835,"CONNECTICUT",9149,0.0721330862932156,"09","2010_2019"
"55",2012,421321,"DELAWARE",127007,0.301449488632183,"10","2010_2019"
"56",2012,2184485,"FLORIDA",1333840,0.610597005701573,"12","2010_2019"
"57",2012,3609788,"GEORGIA",1112359,0.308150783370104,"13","2010_2019"
"58",2012,4504676,"IDAHO",3044510,0.675855488829829,"16","2010_2019"
"59",2012,22373010,"ILLINOIS",521459,0.0233075031030693,"17","2010_2019"
"60",2012,12146538,"INDIANA",436004,0.035895330834185,"18","2010_2019"
