Crop,Crop_Class,Crop_Utilization,Crop_Production,Production_Units,Conversion_to_kg,kcal_kg
CAULIFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,98
ASPARAGUS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,106
LETTUCE,HEAD,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,114
LETTUCE,HEAD,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,114
LETTUCE,LEAF,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,140
LETTUCE,LEAF,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,140
CELERY,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,138
RADISHES,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,144
CUCUMBERS,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,146
CUCUMBERS,ALL CLASSES,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,146
CUCUMBERS,ALL CLASSES,"PROCESSING, PICKLES",ALL PRODUCTION PRACTICES,TONS,907.185,146
ESCAROLE & ENDIVE,ALL CLASSES,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,146
MELONS,WATERMELON,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,156
MELONS,WATERMELON,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,156
GRAPEFRUIT,ALL CLASSES,UTILIZED,ALL PRODUCTION PRACTICES,BOXES,,160
LETTUCE,ROMAINE,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,160
LETTUCE,ROMAINE,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,160
MELONS,HONEYDEW,FRESH MARKET,ALL PRODUCTION PRACTICES,CWT,45.3592,166
MELONS,HONEYDEW,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,CWT,45.3592,166
